,Country,Total Cases,New Cases,Total deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot. Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Date
317,Palestine,263,+2,1 ,,44,218,,52,0.2,"15,450","3,029",2020-04-09
318,Vietnam,251,, ,,126,125,8,3,,"110,124","1,131",2020-04-09
319,Montenegro,248,+7,2  ,,4,242,7,395,3,"2,329","3,708",2020-04-09
320,Senegal,244,+7,2 ,,113,129,1,15,0.1,,,2020-04-09
321,Bangladesh,218,+54,20 ,+3,33,165,1,1,0.1,"5,164",31,2020-04-09
322,Georgia,211,+15,3 ,,50,158,6,53,0.8,"3,271",820,2020-04-09
323,Bolivia,210,+16,15 ,+1,2,193,3,18,1,591,51,2020-04-09
324,Sri Lanka,189,+4,7 ,+1,44,138,5,9,0.3,"3,248",152,2020-04-09
325,Mayotte,184,+13,2 ,,22,160,3,674,7,"1,100","4,032",2020-04-09
326,Faeroe Islands,184,, ,,131,53,1,"3,766",,"5,153","105,458",2020-04-09
327,DRC,180,,18 ,,9,153,,2,0.2,,,2020-04-09
328,Kenya,179,+7,6 ,,9,164,2,3,0.1,"4,973",92,2020-04-09
329,Venezuela,167,+1,9 ,+2,65,93,6,6,0.3,"1,779",63,2020-04-09
330,Guinea,164,+20, ,,5,159,,12,,,,2020-04-09
331,Isle of Man,158,+8,1 ,,82,75,7,"1,858",12,"1,824","21,450",2020-04-09
332,Martinique,154,+2,6 ,+2,50,98,19,410,16,,,2020-04-09
333,Guadeloupe,141,+2,8 ,+1,43,90,13,352,20,,,2020-04-09
334,Brunei ,135,,1 ,,91,43,3,309,2,"8,845","20,218",2020-04-09
335,Djibouti,135,+45, ,,25,110,,137,,"3,106","3,144",2020-04-09
336,Gibraltar,120,+7, ,,60,60,,"3,562",,"1,481","43,958",2020-04-09
337,Paraguay,119,+4,5 ,,15,99,1,17,0.7,"2,039",286,2020-04-09
338,Cambodia,117,+2, ,,63,54,1,7,,"5,768",345,2020-04-09
339,Rwanda,110,+5, ,,7,103,,8,,806,62,2020-04-09
340,Trinidad and Tobago,107,,8 ,,1,98,,76,6,878,627,2020-04-09
341,El Salvador,93,+15,5 ,+1,9,79,2,14,0.8,,,2020-04-09
342,Madagascar,93,+5, ,,11,82,1,3,,,,2020-04-09
343,Guatemala,87,+10,3 ,,17,67,3,5,0.2,"1,134",63,2020-04-09
344,French Guiana,83,+6, ,,43,40,1,278,,,,2020-04-09
345,Monaco,81,+2,1 ,,4,76,4,"2,064",25,,,2020-04-09
346,Liechtenstein,78,,1 ,,55,22,,"2,046",26,900,"23,605",2020-04-09
347,Aruba,77,+3, ,,14,63,,721,,990,"9,273",2020-04-09
348,Togo,70,+5,3 ,,23,44,,8,0.4,"1,747",211,2020-04-09
349,Jamaica,63,,4 ,+1,10,49,,21,1,540,182,2020-04-09
350,Barbados,63,,3  ,,8,52,4,219,10,655,"2,279",2020-04-09
351,Mali,59,+3,7 ,+2,16,36,,3,0.3,,,2020-04-09
352,Ethiopia,55,+3,2 ,,4,49,1,0.5,0.02,"2,496",22,2020-04-09
353,Uganda,53,+1, ,,,53,,1,,"3,310",72,2020-04-09
354,French Polynesia,51,+4, ,,,51,,182,,744,"2,649",2020-04-09
355,Congo,45,,5 ,,2,38,,8,0.9,,,2020-04-09
356,Cayman Islands,45,,1 ,,6,38,,685,15,479,"7,288",2020-04-09
357,Macao,45,+1, ,,10,35,1,69,,,,2020-04-09
358,Bahamas,40,+7,7 ,+1,5,28,1,102,18,,,2020-04-09
359,Sint Maarten,40,,6 ,,1,33,2,933,140,112,"2,612",2020-04-09
360,Bermuda,39,,3 ,+1,23,13,,626,48,315,"5,058",2020-04-09
361,Zambia,39,,1 ,,7,31,1,2,0.05,"1,239",67,2020-04-09
362,Guyana,37,+4,6 ,+1,8,23,4,47,8,145,184,2020-04-09
363,Gabon,34,+4,1 ,,1,32,,15,0.4,,,2020-04-09
364,Eritrea,33,+2, ,,,33,,9,,,,2020-04-09
365,Guinea-Bissau,33,, ,,,33,,17,,,,2020-04-09
366,Saint Martin,32,,2 ,,7,23,6,828,52,,,2020-04-09
367,Liberia,31,+17,4 ,+1,3,24,,6,0.8,,,2020-04-09
368,Haiti,27,+2,1 ,,,26,,2,0.09,257,23,2020-04-09
369,Benin,26,,1 ,,5,20,,2,0.08,,,2020-04-09
370,Tanzania,25,+1,1 ,,5,19,,0.4,0.02,,,2020-04-09
371,Myanmar,22,,3 ,+2,,19,,0.4,0.06,"1,246",23,2020-04-09
372,Libya,21,+1,1 ,,8,12,,3,0.1,355,52,2020-04-09
373,Angola,19,+2,2 ,,2,15,,0.6,0.06,,,2020-04-09
374,Antigua and Barbuda,19,,2 ,+1,,17,1,194,20,40,408,2020-04-09
375,Syria,19,,2 ,,4,13,,1,0.1,,,2020-04-09
376,Maldives,19,, ,,13,6,,35,,,,2020-04-09
377,Equatorial Guinea,18,+2, ,,3,15,,13,,854,609,2020-04-09
378,New Caledonia,18,, ,,1,17,,63,,"2,320","8,126",2020-04-09
379,Mozambique,17,+7, ,,1,16,,0.5,,467,15,2020-04-09
380,Mongolia,16,+1, ,,4,12,,5,,,,2020-04-09
381,Namibia,16,, ,,3,13,,6,,362,142,2020-04-09
382,Dominica,15,, ,,1,14,,208,,293,"4,070",2020-04-09
383,Fiji,15,, ,,,15,,17,,,,2020-04-09
384,Laos,15,+1, ,,,15,,2,,781,107,2020-04-09
385,Sudan,14,,2 ,,2,10,,0.3,0.05,,,2020-04-09
386,Curaçao,14,+1,1 ,,7,6,,85,6,,,2020-04-09
387,Saint Lucia,14,, ,,1,13,,76,,,,2020-04-09
388,Somalia,12,+4,1 ,+1,1,10,,0.8,0.06,,,2020-04-09
389,Grenada,12,, ,,,12,2,107,,45,400,2020-04-09
390,Eswatini,12,+2, ,,7,5,,10,,,,2020-04-09
391,Zimbabwe,11,,3 ,+1,,8,,0.7,0.2,371,25,2020-04-09
392,Greenland,11,, ,,11,0,,194,,770,"13,564",2020-04-09
393,Saint Kitts and Nevis,11,, ,,,11,,207,,183,"3,440",2020-04-09
394,Seychelles,11,, ,,,11,,112,,,,2020-04-09
395,Suriname,10,,1 ,,3,6,,17,2,,,2020-04-09
396,Chad,10,, ,,2,8,,0.6,,,,2020-04-09
397,MS Zaandam,9,,2 ,,,7,,,,,,2020-04-09
398,Nepal,9,, ,,1,8,,0.3,,"2,366",81,2020-04-09
399,Montserrat,9,, ,,,9,1,"1,803",,36,"7,212",2020-04-09
400,Belize,8,+1,1 ,,,7,1,20,3,268,674,2020-04-09
401,Malawi,8,,1 ,,,7,1,0.4,0.05,,,2020-04-09
402,Turks and Caicos,8,,1 ,,,7,,207,26,61,"1,576",2020-04-09
403,CAR,8,, ,,,8,,2,,,,2020-04-09
404,Vatican City,8,+1, ,,2,6,,"9,988",,,,2020-04-09
405,St. Vincent Grenadines,8,, ,,1,7,,72,,56,505,2020-04-09
406,Cabo Verde,7,,1 ,,1,5,,13,2,,,2020-04-09
407,Sierra Leone,7,+1, ,,,7,,0.9,,,,2020-04-09
408,Botswana,6,,1 ,,,5,,3,0.4,"1,154",491,2020-04-09
409,Mauritania,6,,1 ,,2,3,,1,0.2,67,14,2020-04-09
410,Nicaragua,6,,1 ,,,5,,0.9,0.2,,,2020-04-09
411,St. Barth,6,, ,,1,5,,607,,,,2020-04-09
412,Bhutan,5,, ,,2,3,,6,,"1,166","1,511",2020-04-09
413,Falkland Islands,5,+3, ,,1,4,,"1,437",,137,"39,368",2020-04-09
414,Gambia,4,,1 ,,2,1,,2,0.4,,,2020-04-09
415,Sao Tome and Principe,4,, ,,,4,,18,,19,87,2020-04-09
416,Western Sahara,4,, ,,,4,,7,,,,2020-04-09
417,Anguilla,3,, ,,,3,,200,,,,2020-04-09
418,British Virgin Islands,3,, ,,,3,,99,,,,2020-04-09
419,Burundi,3,, ,,,3,,0.3,,,,2020-04-09
420,Caribbean Netherlands,2,, ,,,2,,76,,10,381,2020-04-09
421,Papua New Guinea,2,, ,,,2,,0.2,,72,8,2020-04-09
422,South Sudan,2,, ,,,2,,0.2,,,,2020-04-09
423,Saint Pierre Miquelon,1,, ,,,1,,173,,,,2020-04-09
424,Timor-Leste,1,, ,,,1,,0.8,,,,2020-04-09
425,Total:,"1,517,960","+84,384","88,455","+6,414","330,266","1,099,239","48,092",195,11.3,,,2020-04-09
